timestamp(s),px(m),py(m),pz(m),qw,qx,qy,qz
320348.735922,0.082161,0.013704,0.078082,0.034289,-0.027775,-0.824782,0.563729
320348.769742,0.069852,0.018762,0.080613,0.022818,-0.030786,-0.823040,0.566679
320348.803562,0.058050,0.024287,0.082443,0.010044,-0.031420,-0.822167,0.568356
320348.837381,0.044783,0.031203,0.084332,0.003934,0.031039,0.822188,-0.568919
320348.871201,0.032133,0.036768,0.085944,0.016821,0.032316,0.819768,-0.571617
320348.905021,0.018763,0.042238,0.087297,0.028352,0.035012,0.816098,-0.576153
320348.938841,0.005327,0.047589,0.087676,0.037842,0.038187,0.812423,-0.580585
320348.972660,-0.008527,0.052559,0.087672,0.046023,0.041406,0.808639,-0.585043
320349.006480,-0.021758,0.057622,0.087043,0.052888,0.045329,0.804611,-0.589696
320349.040300,-0.034177,0.061879,0.084416,0.060962,0.047339,0.803141,-0.590768
320349.074119,-0.048792,0.066960,0.083407,0.068932,0.048417,0.801941,-0.591430
320349.107939,-0.060827,0.069764,0.082444,0.077288,0.047856,0.799654,-0.593539
320349.141759,-0.073901,0.072454,0.080732,0.088914,0.044562,0.797032,-0.595690
320349.175578,-0.086333,0.074968,0.078635,0.101280,0.040481,0.793526,-0.598681
320349.209398,-0.099132,0.076810,0.075878,0.112643,0.036520,0.789903,-0.601690
320349.243218,-0.111681,0.078698,0.073082,0.122783,0.032794,0.786261,-0.604683
320349.277038,-0.124516,0.080211,0.070341,0.132882,0.028410,0.782955,-0.607055
320349.310857,-0.136499,0.082068,0.067215,0.140853,0.023260,0.779181,-0.610325
320349.344677,-0.147696,0.084491,0.064064,0.147735,0.015941,0.776676,-0.612122
320349.378496,-0.160380,0.088317,0.060600,0.154584,0.005764,0.774561,-0.613291
320349.412316,-0.172204,0.091404,0.056940,0.160648,-0.005331,0.772076,-0.614868
320349.446136,-0.183598,0.093545,0.054247,0.166520,-0.016462,0.769403,-0.616457
320349.479955,-0.194494,0.095338,0.051339,0.172644,-0.027010,0.766167,-0.618427
320349.513775,-0.204855,0.095682,0.047603,0.177335,-0.037015,0.763423,-0.619973
320349.547595,-0.214985,0.094245,0.042677,0.178533,-0.045231,0.761903,-0.620954
320349.581415,-0.225257,0.094614,0.038786,0.178558,-0.053476,0.761403,-0.620905
320349.615234,-0.233695,0.095278,0.034903,0.180574,-0.063049,0.760814,-0.620145
320349.649054,-0.241455,0.095803,0.031819,0.183270,-0.072844,0.758680,-0.620894
320349.682873,-0.247972,0.096029,0.028904,0.186357,-0.082834,0.754661,-0.623615
320349.716693,-0.253589,0.096983,0.026460,0.189996,-0.092449,0.751194,-0.625349
320349.750513,-0.258517,0.096561,0.024512,0.193916,-0.099022,0.748074,-0.626878
320349.784333,-0.263821,0.096480,0.023318,0.196780,-0.101476,0.746109,-0.627934
320349.818152,-0.267175,0.096486,0.021986,0.198735,-0.101548,0.746685,-0.626621
320349.851972,-0.268280,0.096594,0.021663,0.200080,-0.100498,0.747741,-0.625101
320349.885792,-0.268299,0.096318,0.021575,0.199896,-0.098612,0.748387,-0.624688
320349.919611,-0.267796,0.096338,0.021509,0.198536,-0.096267,0.748864,-0.624915
